subject,movement,sample_id,detected,nme
58,right eyebrow,58-right eyebrow/key frames/58-right eyebrow_134.jpg,True,0.06349871606481435
35,right smile,35-right smile/key frames/35-right smile_13.jpg,True,0.06339151988114966
62,left snarl,62-left snarl/key frames/62-left snarl_47.jpg,True,0.05802007945800753
85,left smile,85-left smile/key frames/85-left smile_352.jpg,True,0.06281986182391364
17,snarl,17-snarl/key frames/17-snarl_17.jpg,True,0.0590009698151276
13,tight eyes closure,13/13-tight eyes closure_key frames/13-tight eyes closure_64.jpg,True,0.0647790531390376
27,funny,27-funny/key frames/27-funny_141.jpg,True,0.06851726665029109
67,left wink,67-left wink/key frames/67-left wink_88.jpg,True,0.06869737034004103
57,right snarl,57-right snarl/key frames/57-right snarl_3.jpg,True,0.0627957682516121
97,brow raise,97-brow raise/key frames/97-brow raise_1.jpg,True,0.06625654020925432
14,right wink,14-right wink/key frames/14-right wink_291.jpg,True,0.0687486323144771
6,frown,6-close smile/key frames/6-frown_101.jpg,True,0.05923509031043835
71,close smile,71-close smile/key frames/71-close smile_8.jpg,True,0.06351330875815889
99,left wink,99-left wink/key frames/99-left wink_160.jpg,True,0.06978494685364679
91,snarl,91-snarl/key frames/91-snarl_118.jpg,True,0.06998242201848076
12,funny,12-funny/key frames/12-funny_620.jpg,True,0.0641284245179825
19,right eyebrow,19-right eyebrow/key frames/19-right eyebrow_72.jpg,True,0.05773229885351952
47,right wink,47-right wink/key frames/47-right wink_182.jpg,True,0.056842534590597994
95,frown,95-frown/key frames/95-frown_1.jpg,True,0.06566091054471763
4,left snarl,4-left snarl/key frames/4-left snarl_24.jpg,True,0.0587794918888027
29,brow raise,29-brow raise/key frames/29-brow raise_52.jpg,True,0.062330484751989226
3,right smile,AFLFP/3/3-right smile_53.jpg,True,0.06497397668414163
23,gentle eyes closure,23-gentle eyes closure/key frames/23-gentle eyes closure_89.jpg,True,0.06277981568367035
76,open smile,76-open smile/key frames/76-open smile_265.jpg,True,0.06523056694778483
9,right snarl,9-right snarl/key frames/9-right snarl_46.jpg,True,0.06729590788928222
61,left smile,61-left smile/key frames/61-left smile_54.jpg,True,0.06366166695561995
18,close smile,AFLFP/18/18-close smile_138.jpg,True,0.07129739562003114
82,tight eyes closure,82-tight eyes closure/key frames/82-tight eyes closure_50.jpg,True,0.06401867540260052
52,left eyebrow,52-left eyebrow/key frames/52-left eyebrow_113.jpg,True,0.05982702842424851
36,funny,36/36-funny_key frames/36-funny_1.jpg,True,0.06512780730506997
31,brow raise,31-brow raise/key frames/31-brow raise_1.jpg,True,0.06634805538492332
34,left eyebrow,34-left eyebrow/key frames/34-left eyebrow_368.jpg,True,0.06306431556966843
25,tight eyes closure,25/25-tight eye closure_key frames/25-tight eye closure_74.jpg,True,0.06237420844881705
15,right smile,15-right smile/key frames/15-right smile_45.jpg,True,0.060598488783050915
21,left snarl,21-left snarl/key frames/21-left snarl_22.jpg,True,0.061832452524530616
46,close smile,46-close smile/key frames/46-close smile_20.jpg,True,0.0628407667024207
54,left smile,54-left smile/key frames/54-left smile_1.jpg,True,0.060840868117265405
88,left wink,88-left wink/key frames/88-left wink_19.jpg,True,0.06744556486784861
56,open smile,56-open smile/key frames/56-open smile_115.jpg,True,0.061211031354494926
97,right eyebrow,97-right eyebrow/key frames/97-right eyebrow_33.jpg,True,0.06363042857400794
59,gentle eyes closure,59-gentle eyes closure/key frames/59-gentle eyes closure_102.jpg,True,0.06446311182215068
4,right wink,4-right wink/key frames/4-right wink_30.jpg,True,0.05190746656050783
35,frown,35-frown/key frames/35-frown_81.jpg,True,0.062458651545379475
78,snarl,78-snarl/key frames/78-snarl_105.jpg,True,0.06441324933957306
52,right snarl,52-right snarl/key frames/52-right snarl_12.jpg,True,0.06347817438574321
8,left smile,8-left smile/key frames/8-left smile_3.jpg,True,0.06178324706217754
9,funny,9-funny/key frames/9-funny_100.jpg,True,0.06424240989989956
6,right eyebrow,6-right eyebrow/key frames/6-right eyebrow_353.jpg,True,0.06314311322841765
36,brow raise,36/36-brow raise_key frames/36-brow raise_19.jpg,True,0.056735216319209233
41,right smile,41-right smile/key frames/41-right smile_92.jpg,True,0.05982535098228757
46,right snarl,46-right snarl/key frames/46-right snarl_73.jpg,True,0.06421360227520877
20,gentle eyes closure,20-gentle eyes closure/key frames/20-gentle eyes closure_105.jpg,True,0.05862157856494968
80,close smile,80-close smile/key frames/80-close smile_70.jpg,True,0.06478065056347176
23,snarl,23-snarl/key frames/23-snarl_107.jpg,True,0.06292327400099565
64,left eyebrow,64-left eyebrow/key frames/64-left eyebrow_85.jpg,True,0.059834189453453354
37,left snarl,37-left snarl/key frames/37-left snarl_1.jpg,True,0.05473874165692766
72,left wink,72-left wink/key frames/72-left wink_42.jpg,True,0.06005269679276805
29,right wink,29-right wink/key frames/29-right wink_47.jpg,True,0.06669839340925207
33,open smile,33-open smile/key frames/33-open smile_1.jpg,True,0.06185822887496257
47,tight eyes closure,47-tight eyes closure/key frames/47-tight eyes closure_155.jpg,True,0.060657501002983914
1,frown,1-frown/key frames/1-frown_325.jpg,True,0.062000161488845504
26,snarl,26-snarl/key frames/26-snarl_419.jpg,True,0.06562350521686042
49,left eyebrow,49-left eyebrow/key frames/49-left eyebrow_228.jpg,True,0.060460072998591186
7,brow raise,7-brow raise/key frames/7-brow raise_257.jpg,True,0.06209027078832843
58,left wink,58-left wink/key frames/58-left wink_253.jpg,True,0.06717124945222772
81,open smile,81-open smile/key frames/81-open smile_60.jpg,True,0.06786499836800813
76,right snarl,76-right snarl/key frames/76-right snarl_1.jpg,True,0.06643859271261159
99,right wink,99-right wink/key frames/99-right wink_1.jpg,True,0.06953955555026207
13,left smile,13/13-left smile_key frames/13-left smile_60.jpg,True,0.060981335965722985
5,right eyebrow,5-right eyebrow/key frames/5-right eyebrow_8.jpg,True,0.0662698973953019
53,frown,53/53-frown_key frames/53-frown_96.jpg,True,0.06394202778005588
65,close smile,AFLFP/65/65-close smile_128.jpg,True,0.0596221564593905
18,right smile,AFLFP/18/18-right smile_80.jpg,True,0.0618920881027234
91,tight eyes closure,91-tight eyes closure/key frames/91-tight eyes closure_7.jpg,True,0.06280053433231429
68,left snarl,68-left snarl/key frames/68-left snarl_55.jpg,True,0.05838572643231282
92,funny,92-funny/key frames/92-funny_239.jpg,True,0.061743293409955755
61,gentle eyes closure,61-gentle eyes closure/key frames/61-gentle eyes closure_67.jpg,True,0.06044725223575197
55,left smile,55-left smile/key frames/55-left smile_34.jpg,True,0.05877585959911335
11,funny,11-funny/key frames/11-funny_498.jpg,True,0.06204308824777147
87,snarl,87-snarl/key frames/87-snarl_33.jpg,True,0.061691541132511026
16,left eyebrow,16-left eyebrow/key frames/16-left eyebrow_75.jpg,True,0.06224712383708275
50,right wink,50-right wink/key frames/50-right wink_108.jpg,True,0.06408682287766808
32,tight eyes closure,32-tight eyes closure/key frames/32-tight eyes closure_50.jpg,True,0.06024994070854242
84,right snarl,84-right snarl/key frames/84-right snarl_160.jpg,True,0.06544580313165949
25,gentle eyes closure,25/25-gentle eye closure_key frames/25-gentle eye closure_43.jpg,True,0.06301101710601244
100,right smile,100-right smile/key frames/100-right smile_112.jpg,True,0.06934260050682599
96,brow raise,96-brow raise/key frames/96-brow raise_66.jpg,True,0.06003839856429152
19,close smile,19-close smile/key frames/19-close smile_1.jpg,True,0.06428242921344149
67,left snarl,67-left snarl/key frames/67-left snarl_1.jpg,True,0.06814463010291348
85,right eyebrow,85-right eyebrow/key frames/85-right eyebrow_399.jpg,True,0.06726379940721808
95,open smile,95-open smile/key frames/95-open smile_44.jpg,True,0.06244752313207699
31,frown,31-frown/key frames/31-frown_87.jpg,True,0.063532617699361
51,left wink,51-left wink/key frames/51-left wink_66.jpg,True,0.060777046036952
24,left smile,24-left smile/key frames/24-left smile_1.jpg,True,0.06153136578530677
63,funny,63-funny/key frames/63-funny_1406.jpg,True,0.0614121325481774
71,left snarl,71-left snarl/key frames/71-left snarl_1.jpg,True,0.07430445692511682
94,brow raise,94-brow raise/key frames/94-brow raise_55.jpg,True,0.06498053949482618
66,close smile,66-close smile/key frames/66-close smile_19.jpg,True,0.06277731827763752
54,right wink,54-right wink/key frames/54-right wink_352.jpg,True,0.07093950560848672
21,gentle eyes closure,21-gentle eyes closure/key frames/21-gentle eyes closure_61.jpg,True,0.056564590425320076
98,right snarl,98-right snarl/key frames/98-right snarl_74.jpg,True,0.06595656852197782
12,tight eyes closure,12-tight eyes closure/key frames/12-tight eyes closure_1.jpg,True,0.06274151107906643
82,right eyebrow,82-right eyebrow/key frames/82-right eyebrow_94.jpg,True,0.06089113274795776
34,snarl,34-snarl/key frames/34-snarl_204.jpg,True,0.06866404524208004
15,left eyebrow,15-left eyebrow/key frames/15-left eyebrow_18.jpg,True,0.06515688541169307
14,left wink,14-left wink/key frames/14-left wink_184.jpg,True,0.0666644522969033
77,open smile,77-open smile/key frames/77-open smile_111.jpg,True,0.06660301595975202
28,right smile,29-right smile/key frames/29-right smile_80.jpg,True,0.06640345702647442
57,left smile,57-left smile/key frames/57-left smile_92.jpg,True,0.06411946292806563
75,frown,75-frown/key frames/75-frown_100.jpg,True,0.06438328998862225
27,frown,27-frown/key frames/27-frown_78.jpg,True,0.0698405445653356
86,open smile,86-open smile/key frames/86-open smile_98.jpg,True,0.06532105149483136
48,left eyebrow,48-left eyebrow/key frames/48-left eyebrow_90.jpg,True,0.06364652067359224
70,snarl,70-snarl/key frames/70-snarl_23.jpg,True,0.07238404684926769
3,tight eyes closure,AFLFP/3/3-tight eyes closure_274.jpg,True,0.06102175226548618
22,right eyebrow,22-right eyebrow/key frames/22-right eyebrow_299.jpg,True,0.0546434907476723
69,right smile,69-right smile/key frames/69-right smile_45.jpg,True,0.06755691096556737
83,left wink,83-left wink/key frames/83-left wink_64.jpg,True,0.06505297589145019
73,brow raise,73-brow raise/key frames/73-brow raise_51.jpg,True,0.060012868852276385
10,gentle eyes closure,10-gentle eyes closure/key frames/10-gentle eyes closure_197.jpg,True,0.06033406334720086
62,right snarl,62-right snarl/key frames/62-right snarl_53.jpg,True,0.06562395410277891
17,close smile,17-close smile/key frames/17-close smile_133.jpg,True,0.05586174350181053
79,left snarl,79-left snarl/key frames/79-left snarl_1.jpg,True,0.06285788687937403
74,funny,74-funny/key frames/74-funny_916.jpg,True,0.06853423902644921
30,right wink,30-right wink/key frames/30-right wink_56.jpg,True,0.06340902419397526
78,frown,78-frown/key frames/78-frown_68.jpg,True,0.05711963383558609
63,right smile,63-right smile/key frames/63-right smile_41.jpg,True,0.06210008980183673
32,close smile,32-close smile/key frames/32-close smile_1.jpg,True,0.06711693302533622
86,brow raise,86-brow raise/key frames/86-brow raise_110.jpg,True,0.06794516947808635
34,gentle eyes closure,34-gentle eyes closure/key frames/34-gentle eyes closure_145.jpg,True,0.05898190350879832
51,funny,51-funny/key frames/51-funny_178.jpg,True,0.06125494406708427
13,left wink,13/13-left wink_key frames/13-left wink_48.jpg,True,0.06384709682360973
58,left snarl,58-left snarl/key frames/58-left snarl_57.jpg,True,0.06934161974613232
49,open smile,49-open smile/key frames/49-open smile_60.jpg,True,0.06429983042211718
84,right eyebrow,84-right eyebrow/key frames/84-right eyebrow_46.jpg,True,0.05795303325099373
46,left eyebrow,46-left eyebrow/key frames/46-left eyebrow_101.jpg,True,0.06501165266172884
70,tight eyes closure,70-tight eyes closure/key frames/70-tight eyes closure_80.jpg,True,0.06763097069184845
16,right wink,16-right wink/key frames/16-right wink_85.jpg,True,0.0606320983833084
14,left smile,14-left smile/key frames/14-left smile_98.jpg,True,0.061757022626855056
48,right snarl,48-right snarl/key frames/48-right snarl_107.jpg,True,0.06451283468646062
79,snarl,79-snarl/key frames/79-snarl_100.jpg,True,0.06735047629778775
57,tight eyes closure,57-tight eyes closure/key frames/57-tight eyes closure_78.jpg,True,0.0684641878781828
92,right eyebrow,92-right eyebrow/key frames/92-right eyebrow_93.jpg,True,0.05954317632963646
65,gentle eyes closure,AFLFP/65/65-gentle eyes closure_172.jpg,True,0.062178601701925365
68,open smile,68-open smile/key frames/68-open smile_44.jpg,True,0.055196361761682904
55,close smile,55-close smile/key frames/55-close smile_97.jpg,True,0.06353599689797165
98,brow raise,98-brow raise/key frames/98-brow raise_107.jpg,True,0.06860535668044766
12,left smile,12-left smile/key frames/12-left smile_52.jpg,True,0.06216428866033648
25,funny,25/25-funny_key frames/25-funny_160.jpg,True,0.06353648781871997
8,snarl,8-snarl/key frames/8-snarl_105.jpg,True,0.06120173942833738
23,left snarl,23-left snarl/key frames/23-left snarl_100.jpg,True,0.06560465831986104
66,right snarl,66-right snarl/key frames/66-right snarl_60.jpg,True,0.0713703155148672
22,right wink,22-right wink/key frames/22-right wink_53.jpg,True,0.055095056791165296
10,left eyebrow,10-left eyebrow/key frames/10-left eyebrow_145.jpg,True,0.06238899840800757
87,left wink,87-left wink/key frames/87-left wink_100.jpg,True,0.07170573982897344
18,frown,AFLFP/18/18-frown_354.jpg,True,0.0716986511474999
29,right smile,29-right smile/key frames/29-right smile_137.jpg,True,0.07100084168581629
41,right wink,41-right wink/key frames/41-right wink_1.jpg,True,0.06156622997189585
97,tight eyes closure,97-tight eyes closure/key frames/97-tight eyes closure_1.jpg,True,0.06649789047000344
3,right eyebrow,AFLFP/3/3-right eyebrow_268.jpg,True,0.062361740054106815
88,close smile,88-close smile/key frames/88-close smile_43.jpg,True,0.06751862010376472
99,open smile,99-open smile/key frames/99-open smile_52.jpg,True,0.06430324202854869
27,brow raise,27-brow raise/key frames/27-brow raise_65.jpg,True,0.06336237036298895
21,frown,21-frown/key frames/21-frown_48.jpg,True,0.05878063375577379
6,right smile,6-right smile/key frames/6-right smile_62.jpg,True,0.06483561242103925
15,gentle eyes closure,15-gentle eyes closure/key frames/15-gentle eyes closure_7.jpg,True,0.06134673336248092
19,left smile,19-left smile/key frames/19-left smile_47.jpg,True,0.06387270595527413
74,left wink,74-left wink/key frames/74-left wink_63.jpg,True,0.06994876079782546
47,right snarl,47-right snarl/key frames/47-right snarl_104.jpg,True,0.06303730191037928
73,left snarl,73-left snarl/key frames/73-left snarl_83.jpg,True,0.06608602879327644
35,snarl,35-snarl/key frames/35-snarl_112.jpg,True,0.06547771608347719
62,left eyebrow,62-left eyebrow/key frames/62-left eyebrow_105.jpg,True,0.060304519876491165
54,funny,54-funny/key frames/54-funny_1708.jpg,True,0.07276340055049135
72,brow raise,72-brow raise/key frames/72-brow raise_37.jpg,True,0.06523515637606037
96,snarl,96-snarl/key frames/96-snarl_135.jpg,True,0.060231631044317877
37,right eyebrow,37-right eyebrow/key frames/37-right eyebrow_1.jpg,True,0.06596881863959658
85,funny,85-funny/key frames/85-funny_1805.jpg,True,0.06651429856375142
59,open smile,59-open smile/key frames/59-open smile_58.jpg,True,0.06449863253578313
20,tight eyes closure,20-tight eyes closure/key frames/20-tight eyes closure_84.jpg,True,0.060631412243870884
76,gentle eyes closure,76-gentle eyes closure/key frames/76-gentle eyes closure_385.jpg,True,0.06415643281288179
52,left smile,52-left smile/key frames/52-left smile_99.jpg,True,0.06332280102032407
1,left eyebrow,1-left eyeborw/key frames/1-left eyeborw_1.jpg,True,0.06502073671704299
80,left wink,80-left wink/key frames/80-left wink_293.jpg,True,0.06001411412205727
71,right snarl,71-right snarl/key frames/71-right snarl_28.jpg,True,0.06842235727365657
50,right smile,50-right smile/key frames/50-right smile_13.jpg,True,0.0652151878024357
33,close smile,33-close smile/key frames/33-close smile_265.jpg,True,0.06758227973960937
56,frown,56-frown/key frames/56-frown_130.jpg,True,0.05279573407915739
17,left snarl,17-left snarl/key frames/17-left snarl_86.jpg,True,0.055267558108931594
64,right wink,64-right wink/key frames/64-right wink_35.jpg,True,0.06241239076686085
81,right snarl,81-right snarl/key frames/81-right snarl_73.jpg,True,0.06787626314949806
94,left snarl,94-left snarl/key frames/94-left snarl_58.jpg,True,0.06502182041706749
75,left smile,75-left smile/key frames/75-left smile_38.jpg,True,0.058002233132660064
26,right wink,26-right wink/key frames/26-right wink_336.jpg,True,0.06239850966595923
91,left wink,91-left wink/key frames/91-left wink_17.jpg,True,0.06221579089005029
69,right eyebrow,69-right eyebrow/key frames/69-right eyebrow_139.jpg,True,0.06882586906771235
36,close smile,36/36-close smile_key frames/36-close smile_1.jpg,True,0.06515383620698346
61,snarl,61-snarl/key frames/61-snarl_135.jpg,True,0.0595321988521925
82,frown,82-frown/key frames/82-frown_102.jpg,True,0.06115656265802894
67,right smile,67-right smile/key frames/67-right smile_70.jpg,True,0.06600937466906295
100,brow raise,100-brow raise/key frames/100-brow raise_90.jpg,True,0.0661341672978931
9,tight eyes closure,9-tight eues closure/key frames/9-tight eues closure_87.jpg,True,0.06442545275663206
31,gentle eyes closure,31-gentle eyes closure/key frames/31-gentle eyes closure_80.jpg,True,0.06851338280563676
5,funny,5-funny/key frames/5-funny_136.jpg,True,0.06381711740915208
28,left eyebrow,28-left eyebrow/key frames/28-left eyebrow_23.jpg,True,0.061338754671380266
7,open smile,7-open smile/key frames/7-open smile_189.jpg,True,0.06925971270054285
77,left eyebrow,77-left eyebrow/key frames/77-left eyebrow_113.jpg,True,0.06767046022570918
83,left snarl,83-left snarl/key frames/83-left snarl_63.jpg,True,0.05945893469762975
24,close smile,24-close smile/key frames/24-close smile_104.jpg,True,0.05736793100475526
30,right snarl,30-right snarl/key frames/30-right snarl_1.jpg,True,0.06802998542378666
95,brow raise,95-brow raise/key frames/95-brow raise_1.jpg,True,0.0666881203849972
4,left wink,4-left wink/key frames/4-left wink_9.jpg,True,0.05710657391326974
53,funny,53/53-funny_key frames/53-funny_1544.jpg,True,0.06434197075991058
11,right wink,11-right wink/key frames/11-right wink_70.jpg,True,0.06670177931545403
61,right smile,61-right smile/key frames/61-right smile_38.jpg,True,0.06718114866898381
19,gentle eyes closure,19-gentle eyes closure/key frames/19-gentle eyes closure_71.jpg,True,0.0616481752489542
79,right eyebrow,79-right eyebrow/key frames/79-right eyebrow_348.jpg,True,0.05792841390575846
52,open smile,52-open smile/key frames/52-open smile_61.jpg,True,0.058582534876381355
15,tight eyes closure,15-tight eyes closure/key frames/15-tight eyes closure_135.jpg,True,0.06342888664270205
99,frown,99-frowm/key frames/99-frowm_46.jpg,True,0.06944485726641586
25,left smile,25/25-left smile_key frames/25-left smile_76.jpg,True,0.061850048964323355
30,snarl,30-snarl/key frames/30-snarl_102.jpg,True,0.0713433968687941
26,frown,26-frown/key frames/26-frown_184.jpg,True,0.06326279941440768
87,funny,87-funny/key frames/87-funny_117.jpg,True,0.06713231610624827
21,right snarl,21-right snarl/key frames/21-right snarl_1.jpg,True,0.057501429691412066
70,right smile,70-right smile/key frames/70-right smile_58.jpg,True,0.0665859602876323
3,open smile,AFLFP/3/3-open smile_73.jpg,True,0.06252509607438705
37,close smile,37-close smile/key frames/37-close smile_290.jpg,True,0.05712153038351671
41,tight eyes closure,41-tight eyes closure/key frames/41-tight eyes closure_1.jpg,True,0.06294785723598008
4,brow raise,4-brow raise/key frames/4-brow raise_129.jpg,True,0.061390836883011744
9,left wink,9-left wink/key frames/9-left wink_108.jpg,True,0.064574455433572
50,right eyebrow,50-right eyebrow/key frames/50-right eyebrow_62.jpg,True,0.06462416215022661
1,snarl,1-snarl/key frames/1-snarl_1.jpg,True,0.06230132834632616
86,left snarl,86-left snarl/key frames/86-left snarl_101.jpg,True,0.06546498248006297
29,gentle eyes closure,29-gentle eyes closure/key frames/29-gentle eyes closure_159.jpg,True,0.06448873020282443
65,left smile,AFLFP/65/65-left smile_5.jpg,True,0.060362781253764326
81,left eyebrow,81-left eyebrow/key frames/81-left eyebrow_87.jpg,True,0.06511574017529867
83,right wink,83-right wink/key frames/83-right wink_46.jpg,True,0.06724290685581204
27,right wink,27-right wink/key frames/27-right wink_52.jpg,True,0.061367797289894804
18,brow raise,AFLFP/18/18-brow raise_260.jpg,True,0.06682930807667511
20,funny,20-funny/key frames/20-funny_113.jpg,True,0.062011969772920846
75,tight eyes closure,75-tight eyes closure/key frames/75-tight eyes closure_68.jpg,True,0.06366275569902502
69,left snarl,69-left snarl/key frames/69-left snarl_121.jpg,True,0.06779759374865846
73,right eyebrow,73-right eyebrow/key frames/73-right eyebrow_48.jpg,True,0.062204684375145654
28,gentle eyes closure,28-gentle eyes closure/key frames/28-gentle eyes closure_145.jpg,True,0.06449773244447504
68,left smile,68-left smile/key frames/68-left smile_46.jpg,True,0.058110866545513874
35,left eyebrow,35-left eyebrow/key frames/35-left eyebrow_19.jpg,True,0.06453123307592382
12,open smile,12-open smile/key frames/12-open smile_1.jpg,True,0.06351468808867049
10,left wink,10-left wink/key frames/10-left wink_363.jpg,True,0.06314647104289853
17,frown,17-frown/key frames/17-frown_16.jpg,True,0.05899410894801207
78,close smile,78-close smile/key frames/78-close smile_118.jpg,True,0.05425150458330105
22,snarl,22-snarl/key frames/22-snarl_117.jpg,True,0.06233841681146014
74,right smile,74-right smile/key frames/74-right smile_1.jpg,True,0.06484364264751188
59,right snarl,59-right snarl/key frames/59-right snarl_34.jpg,True,0.06456654298205154
71,tight eyes closure,71-tight eyes closure/key frames/71-tight eyes closure_36.jpg,True,0.06976416298006552
11,right snarl,11-right snarl/key frames/11-right snarl_50.jpg,True,0.06364246859427612
8,left eyebrow,8-left eyebrow/key frames/8-left eyebrow_111.jpg,True,0.06480601449571126
14,open smile,14-open smile/key frames/14-open smile_1.jpg,True,0.06164412727257619
95,snarl,95-snarl/key frames/95-snarl_95.jpg,True,0.0652097331735885
6,left snarl,6-right snarl/key frames/6-left snarl_80.jpg,True,0.0598071045974524
80,right smile,80-right smile/key frames/80-right smile_45.jpg,True,0.062147927232189155
85,right wink,85-right wink/key frames/85-right wink_1.jpg,True,0.0601607864246894
32,funny,32-funny/key frames/32-funny_231.jpg,True,0.06597445495852641
48,close smile,48-close smile/key frames/48-close smile_110.jpg,True,0.06297515733083954
62,right eyebrow,62-right eyebrow/key frames/62-right eyebrow_65.jpg,True,0.062311727989545485
13,brow raise,13/13-brow raise_key frames/13-brow raise_122.jpg,True,0.06155575374455598
34,frown,34-frown/key frames/34-frown_1.jpg,True,0.06667981610945269
63,left smile,63-left smile/key frames/63-left smile_56.jpg,True,0.06079535893327485
92,left wink,92-left wink/key frames/92-left wink_10.jpg,True,0.05678453872201052
84,gentle eyes closure,84-gentle eyes closure/key frames/84-gentle eyes closure_4.jpg,True,0.059534015998792225
91,left smile,91-left smile/key frames/91-left smile_81.jpg,True,0.06070333558259208
53,left wink,53/53-left wink_key frames/53-left wink_69.jpg,True,0.06737041582523755
47,close smile,47-close smile/key frames/47-close smile_141.jpg,True,0.06436869209524528
76,snarl,76-snarl/key frames/76-snarl_416.jpg,True,0.06502389408063201
49,right snarl,49-right snarl/key frames/49-right snarl_91.jpg,True,0.0574467770133684
94,gentle eyes closure,94-gentle eyes closure/key frames/94-gentle eyes closure_33.jpg,True,0.06128669785327775
56,right eyebrow,56-right eyebrow/key frames/56-right eyebrow_88.jpg,True,0.06140508470094581
54,open smile,54-open smile/key frames/54-open smile_278.jpg,True,0.07067499977987309
96,funny,96-funny/key frames/96-funny_120.jpg,True,0.05998064068791128
67,frown,67-frown/key frames/67-frown_102.jpg,True,0.07123518590241175
82,right wink,82-right wink/key frames/82-right wink_1.jpg,True,0.06550493567733226
64,tight eyes closure,64-tight eyes closure/key frames/64-tight eyes closure_65.jpg,True,0.07010813931226939
58,right smile,58-right smile/key frames/58-right smile_40.jpg,True,0.0650903146719002
